White Username,Black Username,Time Control,Game Result,Date,White Elo,Black Elo,Opening,Moves
DaneVuk,Tejas299,300,0-1,2023.10.07,806,834,D20,1. d4 d5 2. c4 Nf6 3. Nc3 dxc4 4. e4 Nc6 5. d5 Ne5 6. Bf4 Ng6 7. Bg3 e6 8. Bxc4 Bb4 9. Ne2 Nxe4 10. O-O Nxg3 11. fxg3 O-O 12. a3 Bc5+ 13. Kh1 c6 14. dxc6 bxc6 15. b4 Bb6 16. Nf4 Ne5 17. Bb3 Bd4 18. Rc1 Bxc3 19. Rxc3 Ba6 20. Re1 Qxd1 21. Bxd1 Ng4 22. Rxc6 Bb7 23. Rc7 Ba6 24. Bxg4 f5 25. Bf3 Rad8 26. Rxa7 Bc8 27. a4 e5 28. Ne2 e4 29. Bxe4 fxe4 30. Nc3 e3 31. Rxe3 Rf1#
diMaria24,Tejas299,300,0-1,2023.10.07,812,842,D00,1. d4 d5 2. Bf4 Nf6 3. Nf3 e6 4. h3 Bb4+ 5. c3 Ba5 6. b4 Bb6 7. a4 a5 8. Na3 O-O 9. Nb5 axb4 10. cxb4 Nc6 11. a5 Ba7 12. Nxc7 Rb8 13. Nb5 Ra8 14. Ne5 Nxb4 15. Nxa7 Rxa7 16. Qb3 Rxa5 17. Rxa5 Qxa5 18. Bd2 Qa1+ 19. Qd1 Nc2#
DuRaKiSs,Tejas299,300,1-0,2023.10.07,848,826,C45,1. e4 e5 2. Nf3 Nc6 3. d4 d6 4. dxe5 dxe5 5. Bb5 Qxd1+ 6. Kxd1 f6 7. Ke2 Bd7 8. Bxc6 Bxc6 9. Re1 Bxe4 10. Nfd2 Bxc2 11. Nc3 O-O-O 12. Nb5 Bc5 13. a3 Ba4 14. Nc3 Bc6 15. b4 Be7 16. Nc4 Bxg2 17. Nb5 Kb8 18. Be3 b6 19. Rac1 Bd6 20. Nbxd6 cxd6 21. Rg1 Bd5 22. Rxg7 Bxc4+ 23. Rxc4 Nh6 24. a4 Nf5 25. Rf7 Nxe3 26. fxe3 Rdf8 27. Rd7 Rd8 28. Rf7 d5 29. Rcc7 Rc8 30. Rxa7 d4 31. Rfb7#
Uyerta6,Tejas299,300,0-1,2023.10.07,805,834,A00,1. b4 e5 2. Bb2 f6 3. a3 d5 4. g3 Nd7 5. Bg2 Ne7 6. e3 g6 7. Qf3 c6 8. Ne2 b6 9. Nd4 exd4 10. Bxd4 Bg7 11. O-O O-O 12. Nc3 Ne5 13. Qf4 g5 14. Bxe5 gxf4 15. Bxf4 Ng6 16. Nxd5 cxd5 17. Bxd5+ Qxd5 18. d3 Nxf4
ZachLeach,Tejas299,300,0-1,2023.10.07,878,850,C20,1. e4 e5 2. Qf3 Nf6 3. g4 g5 4. h4 Bh6 5. d3 Nc6 6. c3 Bg7 7. hxg5 Ng8 8. Na3 d6 9. b4 Be6 10. b5 Na5 11. Ne2 f6 12. g6 Qe7 13. gxh7 Nh6 14. Bxh6 O-O-O 15. Be3 b6 16. Nc1 d5 17. Nb3 Nxb3 18. axb3 dxe4 19. Qxe4 Bxb3 20. Qa8+ Kd7 21. Qxa7 Bd5 22. Qa4 Bxh1 23. Nc4 Rxh7 24. Bxb6 cxb6 25. Nxb6+ Ke8 26. Nc4 e4 27. b6+ Kf8 28. d4 f5 29. gxf5 e3 30. fxe3 Bd5 31. Rb1 Bxc4 32. Qxc4 Qxe3+ 33. Be2 Qg1+
meqaid,Tejas299,300,1-0,2023.10.08,909,850,C62,1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. O-O Bg4 5. c3 Qe7 6. d4 O-O-O 7. Bxc6 bxc6 8. h3 Bh5 9. Be3 c5 10. Na3 cxd4 11. Nb5 Kb8 12. Qa4 c6 13. Bg5 f6 14. Nbxd4 exd4 15. Nxd4 Rc8 16. Be3 c5 17. Nc6+ Rxc6 18. Qxc6 Qb7 19. Qa4 Ne7 20. b4 Nc6 21. bxc5 dxc5 22. Rab1 Qxb1 23. Rxb1+ Kc7 24. Qb5 Kd6 25. Bxc5+ Ke6 26. Qxc6+ Kf7 27. Rb7+ Kg6 28. Bxf8 Rxf8 29. g4 Rf7 30. Rxf7 Kxf7 31. gxh5 g6 32. c4 gxh5 33. Qd6 Kg6 34. c5 h6 35. c6 h4 36. c7 Kg5 37. c8=Q Kg6 38. Qg4+ Kf7 39. e5 h5 40. Qxf6+ Ke8 41. Qgg7 a5 42. Qfe7#
SnowstormCider,Tejas299,300,1-0,2023.10.08,858,849,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. d3 Bg4 5. h3 Bh5 6. g4 Bg6 7. g5 f6 8. h4 Bh5 9. c3 Qd7 10. Rg1 O-O-O 11. d4 Nge7 12. Be2 f5 13. d5 Na5 14. Nbd2 fxe4 15. Nxe4 Bxf3 16. Bxf3 Nc4 17. Bg4 Nf5 18. Qd3 b5 19. b3 c6 20. Bxf5 Qxf5 21. Nxd6+ Rxd6 22. Qxf5+ Kb8 23. bxc4 bxc4 24. Rb1+ Ka8 25. Qc8#
doktorLivsy,Tejas299,300,1-0,2023.10.08,900,849,C42,1. e4 e5 2. Bc4 Nf6 3. Nf3 Nc6 4. Bxf7+ Kxf7 5. Ng5+ Ke8 6. f4 Bc5 7. fxe5 Nxe5 8. d4 Bb4+ 9. c3 Nc4 10. cxb4 d6 11. Qb3 b5 12. O-O Ng4 13. Nf7 Qh4 14. h3 Nge3 15. Bxe3 Qxe4 16. Re1 Bxh3 17. Re2 Be6 18. Nxh8 Nb6 19. Qc3 Bc4 20. Nd2 Qg4 21. Rae1 Bxe2 22. Bf2 Nd5 23. Qd3 Nf4 24. Qe3+ Kd7 25. Bg3 Nd3 26. Rxe2 Nxb4 27. Nf7 Nd5 28. Ne5+ dxe5 29. Qxe5 Re8 30. Qxe8#
Shikhoon,Tejas299,300,1-0,2023.10.08,905,850,C53,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 h6 5. a4 Nf6 6. d3 O-O 7. Bb5 d6 8. b4 Bxf2+ 9. Kxf2 Ng4+ 10. Ke1 Qf6 11. Be3 Nxe3 12. Qe2 Nxg2+ 13. Qxg2 a6 14. Bc4 Be6 15. Bxe6 fxe6 16. Nbd2 d5 17. Rf1 dxe4 18. Nxe4 Qf4 19. Nc5 Qe3+ 20. Kd1 e4 21. dxe4 Qxc3 22. Ke2 Qc2+ 23. Nd2 Nd4+ 24. Ke3 Qc3+ 25. Nd3 Nc2+ 26. Ke2 Nxa1 27. Rxf8+ Rxf8 28. Qg6 Nc2 29. Qxe6+ Kh8 30. Ne5 Qe3+ 31. Kd1 Qe1+ 32. Kxc2 Rf2 33. Ng6+ Kh7 34. Qd5 Rxd2+ 35. Qxd2 Qxd2+ 36. Kxd2 Kxg6 37. Ke3 Kg5 38. Kd4 Kg4 39. e5
perenoel44,Tejas299,300,0-1,2023.10.08,847,858,A00,1. e3 e5 2. Bd3 d5 3. c3 Nf6 4. Qc2 Nc6 5. Bb5 Bd7 6. a4 Bd6 7. Nf3 a6 8. Bxc6 Bxc6 9. Ng5 Ng4 10. Qf5 Nh6 11. Qf3 Qxg5 12. O-O d4 13. exd4 Bxf3 14. g3 Qh5 15. d3 Ng4 16. Re1 Qxh2+ 17. Kf1 Qh1#
Manideep6696,Tejas299,300,0-1,2023.10.08,837,880,C50,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6 5. h3 O-O 6. O-O a6 7. Re1 b5 8. Bb3 a5 9. c4 b4 10. Be3 Bxe3 11. Rxe3 a4 12. Bc2 Bb7 13. b3 a3 14. Qd2 Nd4 15. Nxd4 exd4 16. Rf3 c5 17. Qg5 h6 18. Qxc5 Nh5 19. Qxh5 Ra6 20. Qc5 Rg6 21. g3 Qg5 22. Qxd4 Qc1+ 23. Kg2 Qxc2 24. Qxd7 Bc8 25. Qd4 Qb2 26. Qc5 Qxa1 27. Qxb4 Qxb1 28. Qxa3 Qa1 29. Qd6 Rxd6
elliotfib,Tejas299,300,1-0,2023.10.08,853,871,D00,1. d4 d5 2. Nc3 Nf6 3. Bf4 c6 4. e3 e6 5. a3 Bd6 6. Bxd6 Qxd6 7. Nf3 O-O 8. Ne5 Qc7 9. Bd3 Nbd7 10. f4 Nxe5 11. fxe5 Ne4 12. Nxe4 dxe4 13. Bxe4 Qe7 14. Qf3 Qh4+ 15. g3 Qh6 16. O-O-O f5 17. Bd3 Bd7 18. Kb1 b5 19. Rdg1 a5 20. g4 fxg4 21. Qxg4 Rf7 22. Rg3 b4 23. a4 b3 24. cxb3 Rb8 25. Ka2 c5 26. dxc5 Bc6 27. Be4 Bd5 28. Bxd5 exd5 29. Rh3 Qg6 30. Qxg6 hxg6 31. Rg1 Rf5 32. e6 Re8 33. Rxg6 Rf2 34. c6 Rc2 35. Rhg3 Rxc6 36. Rxg7+ Kf8 37. Rg8+ Ke7 38. R3g7+ Kd8 39. e7+ Kd7 40. Rxe8 Kxe8 41. Ka3 Rc7 42. b4 Rxe7 43. Rxe7+ Kxe7 44. bxa5 Kd6 45. Kb4 Kc7 46. Kb5 Kb7 47. a6+ Ka8 48. Kb6 d4 49. exd4 Kb8 50. d5 Ka8 51. d6 Kb8 52. d7 Ka8 53. d8=Q#
jump65,Tejas299,300,1-0,2023.10.08,855,841,C45,1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d4 exd4 5. Ng5 Ne5 6. Bxf7+ Nxf7 7. Nxf7 Kxf7 8. Qh5+ g6 9. Qxc5 Qf6 10. Qc4+ Kg7 11. Bd2 Nh6 12. c3 Rf8 13. O-O Qh4 14. Qxd4+ Rf6 15. Be3 Ng4 16. h3 Nxe3 17. Qxe3 d5 18. e5 Rf5 19. Nd2 Rg5 20. Nf3 Qh5 21. Nxg5
guilleboretto,Tejas299,300,0-1,2023.10.08,850,849,C44,1. e4 e5 2. Nf3 Nc6
benyhe,Tejas299,300,0-1,2023.10.08,884,867,B07,1. e4 e5 2. d4 d6 3. Nf3 exd4 4. Bc4 Be6 5. Bxe6 fxe6 6. Nxd4 e5 7. Nf5 Qf6 8. O-O Nc6 9. c3 O-O-O 10. f4 Nge7 11. fxe5 Qxe5 12. Nxe7+ Bxe7 13. Qg4+ Kb8 14. Rf5 Qe6 15. Qf3 Rdf8 16. Nd2 Rxf5 17. exf5 Qe1+ 18. Nf1 Ne5 19. Qe3 Qxe3+ 20. Bxe3 Rf8 21. Ng3 Ng4 22. Bd4 c5 23. Bxg7 Rf7 24. f6 Bxf6 25. Bxf6 Rxf6 26. Ne4 Rf2 27. h3 Rf4 28. Nxd6 Ne3 29. Re1 Nc2 30. Re7 Rf6 31. Nxb7 Rb6 32. Nxc5 Rxb2 33. Rxh7 Rb5 34. Nd7+ Kc7 35. Nc5+ Kb6 36. Nb3 Ne3 37. Rh6+ Kc7
WaleedGomaa66,Tejas299,300,1-0,2023.10.08,881,859,A00,1. e3 e5 2. c3 d5 3. Qh5 Nc6 4. Bb5 Bd6 5. Qf3 Be6 6. Qd1 Nf6 7. Qa4 Bd7 8. c4 O-O 9. cxd5 Nxd5 10. Bxc6 Bxc6 11. Qd1 Qg5 12. g3 Qf5 13. f3 e4 14. f4 Nb4 15. Qb3 Nd3+ 16. Kd1 Qg4+ 17. Kc2 a5 18. a4 Rab8 19. Na3 Bxa3 20. Rxa3 b5 21. Qc3 Qd7 22. axb5 Rxb5 23. Rxa5 Ne1+ 24. Kb1 Rxa5 25. Qxa5 Bd5 26. Ne2 Qc6 27. Rxe1 Bb3 28. Nc3 Ra8 29. Qb4 Ra1+ 30. Kxa1 Qa6+ 31. Kb1 Qd3+ 32. Ka1 Qa6+ 33. Kb1 c6 34. Qxb3 Qd3+ 35. Ka1 Qa6+ 36. Na4 h6 37. Qb8+ Kh7 38. Qb4 c5 39. Qxe4+ g6 40. b3 c4 41. Bb2 cxb3 42. Qd4 Kg8 43. Qg7#
